element_id,web_name,first_name,second_name,team,element_type,now_cost,selected_by_percent,form,total_points,points_per_game,expected_points_next_4gw,expected_points_per_gw,recent_form_last5,next_fixture_difficulty,next_home_ratio,upcoming_fixtures,injury_status,injury_severity,expected_return,cost_per_million,expected_points_per_million,value_score
313,Martin Sherif,Martin,Sherif,Everton,Forward,45,0.3,0.0,0,0.0,2.694578,0.6736445,1.764,2.75,0.5,4,available,none,,4.5,0.5987950960795084,59.879509607950844
31,Gabriel Fernando de Jesus,Gabriel,Fernando de Jesus,Arsenal,Forward,65,0.0,0.0,42,1.105263157894737,2.6706703,0.66766757,1.2337684210526318,3.25,0.5,4,available,none,,6.5,0.4108723493722769,41.08723493722769
597,Richarlison de Andrade,Richarlison,de Andrade,Spurs,Forward,65,1.0,0.0,35,0.9210526315789473,2.6706703,0.66766757,1.1555403508771929,3.0,0.5,0,available,none,,6.5,0.4108723493722769,41.08723493722769
251,Nicolas Jackson,Nicolas,Jackson,Chelsea,Forward,65,0.1,0.0,121,3.1842105263157894,2.6541016,0.6635254,2.1166280701754383,2.75,0.5,4,available,none,,6.5,0.40832332464364857,40.83233246436485
310,Thierno Barry,Thierno,Barry,Everton,Forward,60,1.3,0.0,0,0.0,2.6263702,0.65659255,2.352,2.75,0.5,4,available,none,,6.0,0.43772836526234943,43.77283652623494
250,Liam Delap,Liam,Delap,Chelsea,Forward,65,4.6,0.0,132,3.473684210526316,2.6258187,0.6564547,2.239557894736842,2.75,0.5,4,available,none,,6.5,0.4039721122154823,40.39721122154823
466,Joshua Zirkzee,Joshua,Zirkzee,Man Utd,Forward,60,1.1,0.0,64,1.6842105263157894,2.6244185,0.6561046,1.3658105263157894,3.0,0.5,0,available,none,,6.0,0.4374030828475952,43.74030828475952
240,Christopher Nkunku,Christopher,Nkunku,Chelsea,Midfielder,60,0.3,0.0,60,1.5789473684210527,2.6036773,0.6509193,1.2909473684210522,2.75,0.5,4,available,none,,6.0,0.4339462121327718,43.394621213277176
370,Jeremie Frimpong,Jeremie,Frimpong,Liverpool,Defender,60,26.8,0.0,0,0.0,2.5966828,0.6491707,5.4,3.0,0.5,0,available,none,,6.0,0.4327804644902547,43.27804644902547
311,Norberto Bercique Gomes Betuncal,Norberto Bercique,Gomes Betuncal,Everton,Forward,55,14.0,0.0,87,2.289473684210526,2.5794985,0.64487463,2.938968421052631,2.75,0.5,4,available,none,,5.5,0.46899973262440076,46.89997326244008
397,Darwin Núñez Ribeiro,Darwin,Núñez Ribeiro,Liverpool,Forward,65,1.5,0.0,66,1.736842105263158,2.5726843,0.6431711,1.5019789473684213,3.0,0.5,0,available,none,,6.5,0.3957975827730619,39.57975827730619
465,Rasmus Højlund,Rasmus,Højlund,Man Utd,Forward,65,1.2,0.0,78,2.0526315789473686,2.5726843,0.6431711,1.6360842105263158,3.0,0.5,0,available,none,,6.5,0.3957975827730619,39.57975827730619
178,Danny Welbeck,Danny,Welbeck,Brighton,Forward,65,7.9,0.0,125,3.289473684210526,2.5715177,0.6428794,2.4392150877192984,3.25,0.5,4,available,none,,6.5,0.39561810860267055,39.56181086026705
526,Igor Jesus Maciel da Cruz,Igor Jesus,Maciel da Cruz,Nott'm Forest,Forward,60,1.3,0.0,0,0.0,2.5520372,0.6380093,2.352,3.0,0.5,0,available,none,,6.0,0.4253395398457845,42.533953984578446
224,Marc Cucurella Saseta,Marc,Cucurella Saseta,Chelsea,Defender,60,19.4,0.0,133,3.5,2.5502605,0.63756514,4.5600000000000005,2.75,0.5,4,available,none,,6.0,0.42504342397054035,42.50434239705403
654,Jørgen Strand Larsen,Jørgen,Strand Larsen,Wolves,Forward,65,5.9,0.0,145,3.8157894736842106,2.5472288,0.6368072,2.384838596491228,3.0,0.5,0,available,none,,6.5,0.39188135587252104,39.188135587252106
337,Raúl Jiménez Rodríguez,Raúl,Jiménez Rodríguez,Fulham,Forward,65,2.4,0.0,147,3.8684210526315788,2.5450957,0.6362739,2.4071894736842103,3.0,0.5,4,available,none,,6.5,0.3915531818683331,39.15531818683331
403,Joško Gvardiol,Joško,Gvardiol,Man City,Defender,60,17.4,0.0,153,4.026315789473684,2.5097942,0.62744856,5.002105263157895,3.0,0.5,0,available,none,,6.0,0.41829903920491535,41.82990392049153
614,James Ward-Prowse,James,Ward-Prowse,West Ham,Midfielder,60,0.4,0.0,51,1.3421052631578947,2.5097158,0.62742895,1.1981052631578946,3.0,0.5,0,available,none,,6.0,0.41828596591949463,41.82859659194946
642,Hwang Hee-chan,Hwang,Hee-chan,Wolves,Midfielder,60,0.2,0.0,37,0.9736842105263158,2.5097158,0.62742895,1.0536842105263156,3.0,0.5,0,available,none,,6.0,0.41828596591949463,41.82859659194946
468,Ethan Wheatley,Ethan,Wheatley,Man Utd,Forward,45,0.2,0.0,0,0.0,2.5079029,0.6269757,1.764,3.0,0.5,0,available,none,,4.5,0.5573117468092177,55.73117468092177
219,Michael Obafemi,Michael,Obafemi,Burnley,Forward,45,0.8,0.0,0,0.0,2.5079029,0.6269757,1.764,3.0,0.5,4,available,none,,4.5,0.5573117468092177,55.73117468092177
99,Daniel Adu-Adjei,Daniel,Adu-Adjei,Bournemouth,Forward,45,0.4,0.0,0,0.0,2.5079029,0.6269757,1.764,3.25,0.5,4,available,none,,4.5,0.5573117468092177,55.73117468092177
100,Eli Junior Kroupi,Eli Junior,Kroupi,Bournemouth,Forward,45,1.6,0.0,0,0.0,2.5079029,0.6269757,1.764,3.25,0.5,4,available,none,,4.5,0.5573117468092177,55.73117468092177
563,Luís Hemir Silva Semedo,Luís Hemir,Silva Semedo,Sunderland,Forward,45,0.3,0.0,0,0.0,2.5079029,0.6269757,1.764,3.0,0.5,0,available,none,,4.5,0.5573117468092177,55.73117468092177
501,Sean Neave,Sean,Neave,Newcastle,Forward,45,0.3,0.0,0,0.0,2.5079029,0.6269757,1.764,3.0,0.5,0,available,none,,4.5,0.5573117468092177,55.73117468092177
657,Leon Chiwome,Leon,Chiwome,Wolves,Forward,45,0.1,0.0,0,0.0,2.5079029,0.6269757,1.764,3.0,0.5,0,available,none,,4.5,0.5573117468092177,55.73117468092177
626,Callum Marshall,Callum,Marshall,West Ham,Forward,45,0.9,0.0,0,0.0,2.5079029,0.6269757,1.764,3.0,0.5,0,available,none,,4.5,0.5573117468092177,55.73117468092177
286,Zach Marsh,Zach,Marsh,Crystal Palace,Forward,45,0.3,0.0,0,0.0,2.5079029,0.6269757,1.764,3.25,0.5,4,available,none,,4.5,0.5573117468092177,55.73117468092177
564,Nazarii Rusyn,Nazarii,Rusyn,Sunderland,Forward,45,0.4,0.0,0,0.0,2.5079029,0.6269757,1.764,3.0,0.5,0,available,none,,4.5,0.5573117468092177,55.73117468092177
562,Ahmed Abdullahi,Ahmed,Abdullahi,Sunderland,Forward,45,1.2,0.0,0,0.0,2.5079029,0.6269757,1.764,3.0,0.5,0,available,none,,4.5,0.5573117468092177,55.73117468092177
65,Zépiqueno Redmond,Zépiqueno,Redmond,Aston Villa,Forward,45,0.9,0.0,0,0.0,2.5079029,0.6269757,1.764,3.0,0.5,4,available,none,,4.5,0.5573117468092177,55.73117468092177
284,Eddie Nketiah,Eddie,Nketiah,Crystal Palace,Forward,55,1.6,0.0,53,1.394736842105263,2.5061939,0.62654847,1.147975438596491,3.25,0.5,4,available,none,,5.5,0.45567161386663263,45.567161386663265
136,Igor Thiago Nascimento Rodrigues,Igor Thiago,Nascimento Rodrigues,Brentford,Forward,60,0.9,0.0,9,0.23684210526315788,2.4993784,0.6248446,0.7984421052631578,2.75,0.5,4,available,none,,6.0,0.41656307379404706,41.65630737940471
658,Nathan Fraser,Nathan,Fraser,Wolves,Forward,45,2.7,0.0,0,0.0,2.4979196,0.6244799,1.764,3.0,0.5,0,available,none,,4.5,0.5550932354397244,55.50932354397244
373,Virgil van Dijk,Virgil,van Dijk,Liverpool,Defender,60,21.9,0.0,143,3.763157894736842,2.473055,0.6182637,4.781052631578948,3.0,0.5,0,available,none,,6.0,0.41217581431070965,41.21758143107097
300,Dwight McNeil,Dwight,McNeil,Everton,Midfielder,60,1.0,0.0,93,2.4473684210526314,2.4713607,0.6178402,1.6313684210526314,2.75,0.5,4,available,none,,6.0,0.41189344724019367,41.189344724019364
218,Ashley Barnes,Ashley,Barnes,Burnley,Forward,45,5.0,0.0,0,0.0,2.46915,0.6172875,1.764,3.0,0.5,4,available,none,,4.5,0.5487000147501627,54.870001475016274
402,Rayan Aït-Nouri,Rayan,Aït-Nouri,Man City,Defender,60,24.7,0.0,125,3.289473684210526,2.4597545,0.6149386,4.383157894736842,3.0,0.5,0,available,none,,6.0,0.409959077835083,40.9959077835083
121,Mikkel Damsgaard,Mikkel,Damsgaard,Brentford,Midfielder,60,1.3,0.0,131,3.4473684210526314,2.4400988,0.6100247,2.0233684210526315,2.75,0.5,4,available,none,,6.0,0.40668312708536786,40.66831270853679
612,Lucas Tolentino Coelho de Lima,Lucas,Tolentino Coelho de Lima,West Ham,Midfielder,60,0.9,0.0,80,2.1052631578947367,2.43904,0.60976,1.4972631578947366,3.0,0.5,0,available,none,,6.0,0.40650665760040283,40.65066576004028
5,Gabriel dos Santos Magalhães,Gabriel,dos Santos Magalhães,Arsenal,Defender,60,23.8,0.0,117,3.0789473684210527,2.434354,0.6085885,4.206315789473685,3.25,0.5,4,available,none,,6.0,0.4057256778081258,40.57256778081258
338,Rodrigo Muniz Carvalho,Rodrigo,Muniz Carvalho,Fulham,Forward,55,2.6,0.0,86,2.263157894736842,2.4321074,0.60802686,1.4600280701754385,3.0,0.5,4,available,none,,5.5,0.44220135428688745,44.22013542868874
22,Mikel Merino Zazón,Mikel,Merino Zazón,Arsenal,Midfielder,60,0.9,0.0,92,2.4210526315789473,2.417246,0.6043115,1.621052631578947,3.25,0.5,4,available,none,,6.0,0.4028743505477905,40.28743505477905
158,Georginio Rutter,Georginio,Rutter,Brighton,Midfielder,60,0.5,0.0,95,2.5,2.417246,0.6043115,1.652,3.25,0.5,4,available,none,,6.0,0.4028743505477905,40.28743505477905
456,Jadon Sancho,Jadon,Sancho,Man Utd,Midfielder,60,0.1,0.0,86,2.263157894736842,2.417246,0.6043115,1.5591578947368416,3.0,0.5,0,available,none,,6.0,0.4028743505477905,40.28743505477905
362,Joël Piroe,Joël,Piroe,Leeds,Forward,55,3.4,0.0,0,0.0,2.4135334,0.60338336,2.156,3.0,0.5,4,available,none,,5.5,0.4388242634859952,43.882426348599516
180,Stefanos Tzimas,Stefanos,Tzimas,Brighton,Forward,55,0.1,0.0,0,0.0,2.413047,0.60326177,2.156,3.25,0.5,4,available,none,,5.5,0.4387358318675648,43.873583186756484
215,Zian Flemming,Zian,Flemming,Burnley,Forward,55,0.2,0.0,0,0.0,2.413047,0.60326177,2.156,3.0,0.5,4,available,none,,5.5,0.4387358318675648,43.873583186756484
561,Eliezer Mayenda Dossou,Eliezer,Mayenda Dossou,Sunderland,Forward,55,0.5,0.0,0,0.0,2.413047,0.60326177,2.156,3.0,0.5,0,available,none,,5.5,0.4387358318675648,43.873583186756484
560,Wilson Isidor,Wilson,Isidor,Sunderland,Forward,55,0.4,0.0,0,0.0,2.413047,0.60326177,2.156,3.0,0.5,0,available,none,,5.5,0.4387358318675648,43.873583186756484
160,Yankuba Minteh,Yankuba,Minteh,Brighton,Midfielder,60,1.1,0.0,102,2.6842105263157894,2.3999803,0.5999951,1.724210526315789,3.25,0.5,4,available,none,,6.0,0.39999671777089435,39.99967177708943
